Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2016,330,North Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2016,331,North Melbourne,0,0,0,0,,0,0,0,0,0,0,,,44,0,0,0,0,0,,86
2016,332,North Melbourne,0,0,0,,,0,0,0,,0,0,0,19,,0,0,0,0,,0,57
2016,333,North Melbourne,0,0,0,0,0,0,0,0,25,,,,0,10,0,,0,8,0,0,206
2016,334,North Melbourne,0,0,0,0,23,0,0,0,,,,0,,,0,0,0,,0,0,61
2016,335,North Melbourne,0,,0,0,52,,,0,21,26,15,,,,,,0,17,,21,201
2016,336,North Melbourne,0,0,0,0,33,,0,0,0,0,0,,,,0,0,0,0,0,,57
2016,337,North Melbourne,0,0,0,0,,26,0,,0,0,0,,0,,0,0,0,41,,31,134
2016,338,North Melbourne,0,0,0,0,0,,0,0,0,0,,0,59,,0,0,0,0,0,0,86
2016,339,North Melbourne,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,31
2016,340,North Melbourne,0,0,0,0,0,0,0,0,0,,,0,,10,0,0,0,0,0,,19
2016,341,North Melbourne,0,0,0,,,0,0,0,0,,0,0,0,,,0,0,,0,24,169
2016,342,North Melbourne,0,0,0,,31,44,,0,0,0,0,0,0,,,0,0,,0,0,90
2016,343,North Melbourne,0,0,0,,,,,0,0,0,,0,,,0,,0,6,0,,127
2016,344,North Melbourne,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2016,345,North Melbourne,0,,0,27,,0,,,23,120,20,,,38,0,,0,50,,0,380
2016,346,North Melbourne,0,0,0,0,8,,0,0,,34,,0,,19,0,,0,19,,0,110
2016,347,North Melbourne,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,12
2016,348,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2016,349,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,350,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,351,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,352,North Melbourne,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2016,353,North Melbourne,,0,0,0,,0,,0,0,,135,0,,,0,0,0,,0,0,187
2016,354,North Melbourne,0,20,0,,46,,,0,0,102,23,,0,41,0,,0,70,,18,423
2016,355,North Melbourne,,,0,0,86,,0,0,22,,15,,,,0,0,0,,0,,177
2016,356,North Melbourne,,,0,0,32,0,8,0,0,26,0,,,13,,,0,27,0,28,163
2016,357,North Melbourne,0,0,0,0,63,,84,0,,20,67,0,,151,0,,0,,,,456
2016,358,North Melbourne,,0,0,,,0,0,0,0,23,0,0,,16,0,0,0,7,20,0,300
2016,359,North Melbourne,0,,0,,12,,,,0,,,0,0,,,0,0,,0,,82
2016,360,North Melbourne,0,0,0,,0,0,,0,0,27,,,0,,0,0,0,16,0,,95
2016,361,North Melbourne,4,,0,0,,0,0,0,0,28,0,,0,14,,0,0,,0,0,110
2016,362,North Melbourne,,,0,0,0,0,,0,0,28,13,0,0,0,0,0,0,60,0,0,133
2016,363,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,103
2016,364,North Melbourne,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,81
2016,365,North Melbourne,0,,0,,56,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,67
2016,366,North Melbourne,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2016,367,North Melbourne,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,12
2016,368,North Melbourne,,0,0,0,0,0,0,0,0,,0,0,,11,0,0,0,0,0,0,42
2016,369,North Melbourne,0,0,0,0,23,0,0,0,0,27,,,,6,0,,0,,,,80
2016,370,North Melbourne,,0,0,0,28,,0,,0,,0,0,0,0,0,,0,,,0,50
2016,371,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,372,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,373,North Melbourne,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2016,374,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,375,North Melbourne,,,0,0,36,,0,0,0,22,35,0,0,,,0,0,0,0,,254
2016,376,North Melbourne,0,,0,44,8,0,0,,0,,13,0,0,11,,0,0,,,0,185
2016,377,North Melbourne,0,61,0,0,418,,,0,0,35,144,0,,41,0,,0,0,0,0,779
2016,378,North Melbourne,,0,0,,,,0,0,0,,,0,0,,0,0,0,,0,0,275
2016,379,North Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,380,North Melbourne,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,401,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,402,West Melbourne (Residential),0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,21
2016,403,West Melbourne (Residential),0,,0,0,,,0,0,0,0,0,,0,0,0,0,0,,,,222
2016,404,West Melbourne (Residential),0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
2016,405,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
2016,406,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,407,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,408,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,409,West Melbourne (Residential),0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,,,0,16
2016,410,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,411,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,412,West Melbourne (Residential),0,0,0,0,,0,,,0,0,0,0,,0,0,0,0,0,0,0,23
2016,413,West Melbourne (Residential),0,0,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,,105
2016,414,West Melbourne (Residential),,9,0,0,46,0,,0,,,0,,,,0,0,,0,0,0,103
2016,415,West Melbourne (Residential),0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2016,416,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,418,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,41
2016,419,West Melbourne (Residential),0,0,0,,21,,0,,,,,0,0,,0,0,0,0,0,0,72
2016,420,West Melbourne (Residential),,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,72
2016,421,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,422,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,423,West Melbourne (Residential),0,0,0,,0,0,0,0,0,25,0,0,0,,0,0,0,20,0,0,48
2016,424,West Melbourne (Residential),0,,0,0,0,0,0,0,0,20,13,0,0,11,0,0,0,,0,0,55
2016,425,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2016,426,West Melbourne (Residential),0,0,0,0,62,0,0,0,,0,0,0,0,,,0,0,58,,,139
2016,427,West Melbourne (Residential),0,,0,0,,,,0,0,,,0,0,24,0,0,0,20,0,,149
2016,428,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,60
2016,429,West Melbourne (Residential),0,0,0,,17,,50,0,0,0,0,0,0,,0,0,,0,0,,92
2016,430,West Melbourne (Residential),0,0,0,0,,0,0,0,0,16,,0,,,0,0,0,,0,,131
2016,431,West Melbourne (Residential),0,,0,,66,0,0,,0,0,,0,,,0,,0,7,,,184
2016,432,West Melbourne (Residential),0,0,0,,0,0,158,0,0,13,0,,0,,0,0,0,0,,0,356
2016,433,West Melbourne (Residential),0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,434,West Melbourne (Residential),0,,0,0,27,0,,0,6,20,,,,,0,,0,11,,,161
2016,435,West Melbourne (Residential),,0,0,0,0,0,0,0,0,30,,,,12,0,0,0,21,8,0,91
2016,436,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,437,West Melbourne (Residential),0,0,0,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,145
2016,438,West Melbourne (Residential),,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,,,65
2016,439,West Melbourne (Residential),0,0,0,0,74,0,0,,0,,0,0,0,30,0,0,0,,0,,149
2016,440,West Melbourne (Residential),0,0,0,,39,0,,0,0,0,,0,,,0,,0,0,,0,189
2016,441,West Melbourne (Residential),,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,14
2016,442,West Melbourne (Residential),0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,202
2016,443,West Melbourne (Residential),0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,377
2016,444,West Melbourne (Residential),0,,0,0,596,,,0,,,,0,0,,,0,0,0,,,817
2016,445,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2016,501,West Melbourne (Industrial),0,0,0,,,0,0,,0,0,0,0,45,,,0,0,0,,402,629
2016,502,West Melbourne (Industrial),0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,135,187,396
2016,503,Kensington,0,14,0,,57,159,,0,0,9,0,0,152,25,,0,,,,158,716
2016,504,Kensington,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,86
2016,505,Kensington,0,0,0,0,,,0,0,0,,0,,,28,0,0,0,,,,119
2016,506,North Melbourne,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5
2016,507,Kensington,0,0,0,,,,0,0,0,0,0,,,63,0,0,0,,0,0,179
2016,508,Kensington,0,,0,,11,,,0,0,0,0,0,32,0,,0,0,0,0,47,108
2016,509,Kensington,0,0,0,112,8,0,0,0,0,0,0,9,47,0,0,0,0,,,0,205
2016,510,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016,512,Kensington,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,118
2016,513,Kensington,0,0,0,0,,0,0,0,0,,0,,,0,0,0,0,,0,,36
2016,514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,515,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,519,Kensington,0,,0,103,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,156
2016,520,Kensington,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,12
2016,521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,522,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,523,Kensington,0,0,0,0,0,0,,0,0,,18,0,0,0,0,0,0,,0,0,57
2016,524,Kensington,0,0,0,,0,0,0,0,0,10,,0,0,,0,,0,,,,88
2016,525,Kensington,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,13
2016,526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,527,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,528,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,529,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,530,Kensington,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,531,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,533,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,534,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,535,Kensington,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2016,536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,537,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,538,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,539,Kensington,0,,0,2,0,,0,0,0,0,0,0,106,,0,0,,0,,0,309
2016,540,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,541,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,542,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,544,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,545,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,546,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,547,Kensington,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2016,548,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,549,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,550,Kensington,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,551,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,552,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,553,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,554,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,555,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,556,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,557,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,558,Kensington,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,559,Kensington,0,,,,,,,,,36,,,,,,,,23,,,59
2016,560,Kensington,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,19
2016,561,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,562,Kensington,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
2016,563,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,564,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,565,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,567,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,569,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,570,Kensington,,0,,"2,765",,0,,0,0,,0,,0,4,0,0,0,0,0,0,"2,819"
2016,571,Kensington,0,0,0,,0,0,0,0,,54,,,,20,0,,0,227,,0,447
2016,601,East Melbourne,,0,0,0,0,0,0,0,0,0,,0,0,10,0,0,0,0,0,0,79
2016,602,East Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,603,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,20
2016,604,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,605,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2016,606,East Melbourne,11,,0,0,30,,0,0,0,,63,0,0,,0,0,0,0,0,0,135
2016,607,East Melbourne,,,0,0,82,,0,,,50,180,,,349,0,,0,,,0,776
2016,608,East Melbourne,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,
2016,609,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,610,East Melbourne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,611,East Melbourne,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,30
2016,612,East Melbourne,,0,0,0,,,0,0,0,,,,0,0,0,,0,0,0,0,70
2016,613,East Melbourne,10,0,0,,,0,0,0,,41,62,0,0,9,0,,0,,0,0,179
2016,614,East Melbourne,,0,0,0,,0,0,0,0,,861,0,0,4,0,0,0,,0,0,900
2016,615,East Melbourne,0,0,0,0,0,0,0,0,0,,909,0,0,0,0,0,0,,0,0,934
2016,616,East Melbourne,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2016,617,East Melbourne,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,13
2016,618,East Melbourne,,0,0,0,81,,,0,0,47,161,,,0,0,0,0,0,0,0,639
2016,619,East Melbourne,0,47,0,11,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,82
2016,620,East Melbourne,0,0,0,0,,0,83,0,0,,864,,0,,,0,0,,0,0,"1,022"
2016,621,East Melbourne,0,,0,,173,0,573,0,839,23,557,,,296,,0,0,0,0,,"2,635"
2016,642,East Melbourne,0,,,1,,,,,,,,,,,,,,,,,202
2016,643,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,644,East Melbourne,,0,0,,838,0,,0,,39,435,0,,147,"1,523",,0,0,0,0,"3,645"
2016,645,East Melbourne,0,0,0,,0,0,0,0,0,,885,0,0,0,0,0,0,0,0,0,892
2016,646,East Melbourne,,,0,,91,0,,0,,,180,,0,17,0,0,0,0,0,,369
2016,649,East Melbourne,0,,0,,,0,0,0,0,,0,0,0,,150,0,0,,0,0,169
2016,650,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,651,East Melbourne,349,0,0,,,0,0,0,0,31,"2,424",0,0,33,0,0,0,0,0,0,"2,851"
2016,652,East Melbourne,0,0,0,,0,0,,0,0,,0,0,0,,"3,048",0,0,0,0,0,"3,100"
2016,653,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,654,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,655,East Melbourne,,0,0,,145,0,,0,,,,0,0,0,0,0,0,0,0,0,441
2016,656,East Melbourne,,91,0,282,208,,0,0,25,,28,0,0,73,0,,,0,0,,886
2016,657,East Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2016,658,East Melbourne,0,,0,"1,306",0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,"4,094"
2016,659,Melbourne (Remainder),0,0,0,"2,697",0,0,0,0,0,"1,033",0,0,0,,0,0,0,0,,0,"3,730"
2016,660,Melbourne (Remainder),0,,0,888,0,0,0,0,0,402,,0,0,,0,0,0,,,0,"1,406"
2016,661,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,662,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
